"# Channel 1"
"# Trace 1 PHASE OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+4.40633531250E+008, -1.45163011836E+001, +0.00000000000E+000
+4.42508525000E+008, -1.46326770557E+001, +0.00000000000E+000
+4.44383518750E+008, -1.47055634193E+001, +0.00000000000E+000
+4.46258512500E+008, -1.47706181026E+001, +0.00000000000E+000
+4.48133506250E+008, -1.48513184062E+001, +0.00000000000E+000
+4.50008500000E+008, -1.49372357017E+001, +0.00000000000E+000
+4.51883493750E+008, -1.50219765597E+001, +0.00000000000E+000
+4.53758487500E+008, -1.51241236193E+001, +0.00000000000E+000
+4.55633481250E+008, -1.51676307527E+001, +0.00000000000E+000
+4.57508475000E+008, -1.52000821212E+001, +0.00000000000E+000
+4.59383468750E+008, -1.52661900846E+001, +0.00000000000E+000
+4.61258462500E+008, -1.53167062961E+001, +0.00000000000E+000
+4.63133456250E+008, -1.53788341354E+001, +0.00000000000E+000
+4.65008450000E+008, -1.54342319775E+001, +0.00000000000E+000
+4.66883443750E+008, -1.54671678769E+001, +0.00000000000E+000
+4.68758437500E+008, -1.55470244854E+001, +0.00000000000E+000
+4.70633431250E+008, -1.56315220222E+001, +0.00000000000E+000
+4.72508425000E+008, -1.56724133058E+001, +0.00000000000E+000
+4.74383418750E+008, -1.57511081672E+001, +0.00000000000E+000
+4.76258412500E+008, -1.58480969228E+001, +0.00000000000E+000
+4.78133406250E+008, -1.59220007518E+001, +0.00000000000E+000
+4.80008400000E+008, -1.59960255179E+001, +0.00000000000E+000
+4.81883393750E+008, -1.60773179759E+001, +0.00000000000E+000
+4.83758387500E+008, -1.61684854854E+001, +0.00000000000E+000
+4.85633381250E+008, -1.62379911447E+001, +0.00000000000E+000
+4.87508375000E+008, -1.63663644200E+001, +0.00000000000E+000
+4.89383368750E+008, -1.64005531116E+001, +0.00000000000E+000
+4.91258362500E+008, -1.64873247555E+001, +0.00000000000E+000
+4.93133356250E+008, -1.65796977108E+001, +0.00000000000E+000
+4.95008350000E+008, -1.66526299777E+001, +0.00000000000E+000
+4.96883343750E+008, -1.67130377231E+001, +0.00000000000E+000
+4.98758337500E+008, -1.67869204397E+001, +0.00000000000E+000
+5.00633331250E+008, -1.68336461186E+001, +0.00000000000E+000
+5.02508325000E+008, -1.69219017854E+001, +0.00000000000E+000
+5.04383318750E+008, -1.69975775409E+001, +0.00000000000E+000
+5.06258312500E+008, -1.70293893801E+001, +0.00000000000E+000
+5.08133306250E+008, -1.71202456316E+001, +0.00000000000E+000
+5.10008300000E+008, -1.71772154073E+001, +0.00000000000E+000
+5.11883293750E+008, -1.72702428689E+001, +0.00000000000E+000
+5.13758287500E+008, -1.73421271013E+001, +0.00000000000E+000
+5.15633281250E+008, -1.74201592062E+001, +0.00000000000E+000
+5.17508275000E+008, -1.75001062911E+001, +0.00000000000E+000
