"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+9.15088562500E+008, -6.78088102435E+000, +0.00000000000E+000
+9.20088500000E+008, -6.70500391020E+000, +0.00000000000E+000
+9.25088437500E+008, -7.21653182709E+000, +0.00000000000E+000
+9.30088375000E+008, -7.68520856443E+000, +0.00000000000E+000
+9.35088312500E+008, -7.44961224238E+000, +0.00000000000E+000
+9.40088250000E+008, -6.85134260137E+000, +0.00000000000E+000
+9.45088187500E+008, -6.76834286418E+000, +0.00000000000E+000
+9.50088125000E+008, -7.12668897164E+000, +0.00000000000E+000
+9.55088062500E+008, -7.63834597444E+000, +0.00000000000E+000
+9.60088000000E+008, -7.69438976982E+000, +0.00000000000E+000
+9.65087937500E+008, -7.14605970151E+000, +0.00000000000E+000
+9.70087875000E+008, -6.83797454876E+000, +0.00000000000E+000
+9.75087812500E+008, -6.98701049336E+000, +0.00000000000E+000
+9.80087750000E+008, -7.54368139197E+000, +0.00000000000E+000
+9.85087687500E+008, -7.90746460594E+000, +0.00000000000E+000
+9.90087625000E+008, -7.47783830641E+000, +0.00000000000E+000
+9.95087562500E+008, -6.97051055975E+000, +0.00000000000E+000
+1.00008750000E+009, -6.92832283511E+000, +0.00000000000E+000
+1.00508743750E+009, -7.24499624606E+000, +0.00000000000E+000
+1.01008737500E+009, -7.97917609150E+000, +0.00000000000E+000
+1.01508731250E+009, -7.77776450313E+000, +0.00000000000E+000
+1.02008725000E+009, -7.18064314457E+000, +0.00000000000E+000
+1.02508718750E+009, -7.00189016408E+000, +0.00000000000E+000
+1.03008712500E+009, -7.39951918525E+000, +0.00000000000E+000
+1.03508706250E+009, -8.06532536625E+000, +0.00000000000E+000
+1.04008700000E+009, -7.87933048684E+000, +0.00000000000E+000
+1.04508693750E+009, -7.43995268102E+000, +0.00000000000E+000
+1.05008687500E+009, -7.04960674616E+000, +0.00000000000E+000
+1.05508681250E+009, -7.30763363208E+000, +0.00000000000E+000
+1.06008675000E+009, -8.02476366900E+000, +0.00000000000E+000
+1.06508668750E+009, -8.22926621995E+000, +0.00000000000E+000
+1.07008662500E+009, -7.80426848440E+000, +0.00000000000E+000
+1.07508656250E+009, -7.33561587883E+000, +0.00000000000E+000
+1.08008650000E+009, -7.37562918218E+000, +0.00000000000E+000
+1.08508643750E+009, -7.77778217512E+000, +0.00000000000E+000
+1.09008637500E+009, -8.37244113559E+000, +0.00000000000E+000
+1.09508631250E+009, -8.17178086419E+000, +0.00000000000E+000
+1.10008625000E+009, -7.51160884585E+000, +0.00000000000E+000
+1.10508618750E+009, -7.36344951538E+000, +0.00000000000E+000
+1.11008612500E+009, -7.68932242526E+000, +0.00000000000E+000
+1.11508606250E+009, -8.33813772807E+000, +0.00000000000E+000
+1.12008600000E+009, -8.50521440711E+000, +0.00000000000E+000
+1.12508593750E+009, -7.76144999176E+000, +0.00000000000E+000
+1.13008587500E+009, -7.40541620171E+000, +0.00000000000E+000
+1.13508581250E+009, -7.61303288592E+000, +0.00000000000E+000
